loading train-split scenarios per topology to fit signature libraries...
  golden-reference: signature artifact ready in 0.0s (cache_hit=True)
  branched-loop: signature artifact ready in 10.4s (cache_hit=False)
  loop-grid: signature artifact ready in 12.6s (cache_hit=False)
validated topology hashes: 3
processing 9000 scenarios from split=train (0 already done)
  25/9000 done, 2.00/s
  50/9000 done, 1.99/s
  75/9000 done, 1.98/s
  100/9000 done, 1.91/s
  125/9000 done, 1.91/s
  150/9000 done, 1.92/s
  175/9000 done, 1.92/s
  200/9000 done, 1.92/s
  225/9000 done, 1.92/s
  250/9000 done, 1.92/s
  275/9000 done, 1.91/s
  300/9000 done, 1.90/s
  325/9000 done, 1.90/s
  350/9000 done, 1.90/s
  375/9000 done, 1.90/s
  400/9000 done, 1.90/s
  425/9000 done, 1.91/s
  450/9000 done, 1.91/s
  475/9000 done, 1.89/s
  500/9000 done, 1.89/s
  525/9000 done, 1.90/s
  550/9000 done, 1.90/s
  575/9000 done, 1.90/s
  600/9000 done, 1.90/s
  625/9000 done, 1.90/s
  650/9000 done, 1.90/s
  675/9000 done, 1.89/s
  700/9000 done, 1.89/s
  725/9000 done, 1.89/s
  750/9000 done, 1.89/s
  775/9000 done, 1.89/s
  800/9000 done, 1.90/s
  825/9000 done, 1.90/s
  850/9000 done, 1.89/s
  875/9000 done, 1.89/s
  900/9000 done, 1.89/s
  925/9000 done, 1.89/s
  950/9000 done, 1.89/s
  975/9000 done, 1.89/s
  1000/9000 done, 1.89/s
  1025/9000 done, 1.89/s
  1050/9000 done, 1.88/s
  1075/9000 done, 1.88/s
  1100/9000 done, 1.88/s
  1125/9000 done, 1.89/s
  1150/9000 done, 1.89/s
  1175/9000 done, 1.89/s
  1200/9000 done, 1.89/s
  1225/9000 done, 1.89/s
  1250/9000 done, 1.88/s
  1275/9000 done, 1.88/s
  1300/9000 done, 1.88/s
  1325/9000 done, 1.88/s
  1350/9000 done, 1.88/s
  1375/9000 done, 1.89/s
  1400/9000 done, 1.89/s
  1425/9000 done, 1.88/s
  1450/9000 done, 1.88/s
  1475/9000 done, 1.88/s
  1500/9000 done, 1.88/s
  1525/9000 done, 1.88/s
