arm,seed,depth,n,top1,top3,mrr,nll,brier,posterior_entropy,true_source_rank,evidence_sufficient_fraction,evidence_sufficiency_head_accuracy,event_presence_head_accuracy,event_cause_head_accuracy,candidate_region_size,model_latency_seconds_mean,peak_rss_bytes
A,20260814,1,120,0.275,0.725,0.53125,2.677458873470867,1.02544813140416,0.8003975399692232,2.5,0.9833333333333333,0.9833333333333333,1.0,1.0,,0.006577770699611089,855867392
A,20260814,2,120,0.49166666666666664,0.8083333333333333,0.670138888888889,2.502556994256127,0.8564252800490562,0.3963371750595191,2.058333333333333,1.0,1.0,1.0,1.0,,0.005139821858513945,856862720
A,20260814,3,120,0.5916666666666667,0.8583333333333333,0.7381944444444444,2.1039641853893705,0.676065748012089,0.2808824987032949,1.825,1.0,1.0,1.0,1.0,,0.004856954532927679,859090944
A,20260814,4,120,0.8333333333333334,0.9583333333333334,0.8951388888888889,0.8314391877895692,0.29734036353699095,0.16565633404005287,1.3166666666666667,1.0,1.0,1.0,1.0,,0.0045902317074554356,856928256
A,20260814,6,120,0.9833333333333333,1.0,0.9916666666666667,0.08368706917353531,0.040420865559702875,0.08388199853667781,1.0166666666666666,1.0,1.0,1.0,1.0,,0.0045453783958995094,856662016
A,20260814,12,120,0.9916666666666667,1.0,0.9958333333333333,0.029353698806552826,0.015755462181279357,0.054035175256619064,1.0083333333333333,1.0,1.0,1.0,1.0,,0.005273736291565001,859267072
A,20260814,25,120,0.9916666666666667,1.0,0.9958333333333333,0.02802495901100925,0.01302595314025875,0.05995147139425778,1.0083333333333333,1.0,1.0,1.0,1.0,,0.006976443859457504,861495296
A,31874,1,120,0.275,0.7416666666666667,0.5368055555555556,2.4518498849105064,0.9987367681486035,0.8486586752502868,2.4583333333333335,0.9833333333333333,0.9833333333333333,1.0,1.0,,0.0065661834843922405,858693632
A,31874,2,120,0.5,0.8166666666666667,0.673611111111111,2.250752479560984,0.8028989290062932,0.45422983927743793,2.05,1.0,1.0,1.0,1.0,,0.006336859633059551,859590656
A,31874,3,120,0.6,0.8666666666666667,0.7430555555555556,1.9545268139682628,0.6710598535100387,0.2824328643685779,1.8083333333333333,1.0,1.0,1.0,1.0,,0.004857359114976134,859983872
A,31874,4,120,0.8,0.9666666666666667,0.8777777777777778,0.761901627483397,0.2934120120446969,0.1702812845363951,1.35,1.0,1.0,1.0,1.0,,0.005119899607961997,861335552
A,31874,6,120,0.975,1.0,0.9875,0.14034375710467428,0.05046947802860749,0.09664147827749427,1.025,1.0,1.0,1.0,1.0,,0.0057225622760597615,860266496
A,31874,12,120,0.975,1.0,0.9875,0.052705659015296176,0.028387462761258437,0.06567238615649937,1.025,1.0,1.0,1.0,1.0,,0.0051987649581860754,861097984
A,31874,25,120,1.0,1.0,1.0,0.017148143733279515,0.00494215024102986,0.05299109105684086,1.0,1.0,1.0,1.0,1.0,,0.005933529066775615,866238464
B,20260814,1,120,0.275,0.7166666666666667,0.5305555555555556,1.3872320015737938,0.75090318719546,1.3764778097470602,2.5083333333333333,0.9833333333333333,0.9833333333333333,1.0,1.0,,0.004956767758024701,863600640
B,20260814,2,120,0.48333333333333334,0.8166666666666667,0.6666666666666666,1.0281258004626932,0.5566158322150031,1.013888967273427,2.058333333333333,1.0,1.0,1.0,1.0,,0.005161550932583244,864038912
B,20260814,3,120,0.5916666666666667,0.8833333333333333,0.7375,0.7931089073182725,0.4279680502165039,0.7729869746704935,1.8166666666666667,1.0,1.0,1.0,1.0,,0.004714180141551575,864169984
B,20260814,4,120,0.8416666666666667,0.9666666666666667,0.9027777777777778,0.3673566212321536,0.20000961998711858,0.3945687074427648,1.2833333333333334,1.0,1.0,1.0,1.0,,0.005926858576034041,861470720
B,20260814,6,120,0.9666666666666667,1.0,0.9833333333333333,0.11245773030349225,0.0578539289516331,0.1535883656765994,1.0333333333333334,1.0,1.0,1.0,1.0,,0.004698459351978575,861765632
B,20260814,12,120,0.9833333333333333,1.0,0.9916666666666667,0.060691733333906386,0.02982276544990903,0.09900221408703752,1.0166666666666666,1.0,1.0,1.0,1.0,,0.005389394490339328,862068736
B,20260814,25,120,0.9916666666666667,1.0,0.9958333333333333,0.05940599126048721,0.030561891643229217,0.08279766377430255,1.0083333333333333,1.0,1.0,1.0,1.0,,0.006012610575514069,865677312
B,31874,1,120,0.2833333333333333,0.7166666666666667,0.5305555555555556,1.392785179273574,0.7531454667448998,1.3741364588340124,2.525,0.9833333333333333,0.9833333333333333,1.0,1.0,,0.004733241633221042,862027776
B,31874,2,120,0.475,0.8166666666666667,0.6652777777777777,1.0249452963761319,0.5549987492815102,1.01762561694001,2.05,1.0,1.0,1.0,1.0,,0.0050160366100802396,862412800
B,31874,3,120,0.5916666666666667,0.8833333333333333,0.7375,0.7881844432090417,0.4252778911976442,0.7746895244151043,1.8166666666666667,1.0,1.0,1.0,1.0,,0.006731278016134942,862412800
B,31874,4,120,0.8416666666666667,0.9666666666666667,0.9013888888888889,0.36350947059955957,0.1969765445513535,0.3922605845529082,1.2916666666666667,1.0,1.0,1.0,1.0,,0.006502158075939709,862076928
B,31874,6,120,0.9833333333333333,0.9916666666666667,0.9895833333333334,0.11658004396956635,0.06022782757280922,0.1537310560156281,1.0333333333333334,1.0,1.0,1.0,1.0,,0.006382905800516407,862347264
B,31874,12,120,0.975,0.9916666666666667,0.9854166666666667,0.07528853063382285,0.03899256008970731,0.10599077727286689,1.0416666666666667,1.0,1.0,1.0,1.0,,0.006149236134175832,864792576
B,31874,25,120,0.975,0.9916666666666667,0.9854166666666667,0.08344312688143866,0.04432946399682856,0.09276781046646647,1.0416666666666667,1.0,1.0,1.0,1.0,,0.005558228799297164,867696640
C,20260814,1,120,0.2833333333333333,0.7583333333333333,0.5465277777777777,1.3871740176208778,0.7502642303705216,1.3775450885295868,2.408333333333333,0.9833333333333333,0.9833333333333333,1.0,1.0,,0.004595440316673679,864649216
C,20260814,2,120,0.525,0.8166666666666667,0.6958333333333333,1.0210426232098342,0.5524747182380146,1.012388802903782,1.9666666666666666,1.0,1.0,1.0,1.0,,0.004488332406617701,865095680
C,20260814,3,120,0.5916666666666667,0.8666666666666667,0.7375,0.7835271466197662,0.4227023999505674,0.776593786321852,1.825,1.0,1.0,1.0,1.0,,0.00483075728455636,865095680
C,20260814,4,120,0.85,0.9583333333333334,0.90625,0.3598351968715647,0.19483083122434267,0.3919762379135742,1.2833333333333334,1.0,1.0,1.0,1.0,,0.004914343325071968,860712960
C,20260814,6,120,0.9666666666666667,0.9916666666666667,0.98125,0.12400597191009925,0.06598129873036458,0.16094269302338943,1.05,1.0,1.0,1.0,1.0,,0.004839424648768424,860778496
C,20260814,12,120,0.9666666666666667,1.0,0.9805555555555556,0.09199072247526553,0.04796306321971001,0.1327634412557624,1.05,1.0,1.0,1.0,1.0,,0.00517173800180899,861671424
C,20260814,25,120,0.975,0.9916666666666667,0.9840277777777777,0.08403860384956814,0.04616633630785876,0.0957158319914015,1.05,1.0,1.0,1.0,1.0,,0.005426897883201794,865095680
C,31874,1,120,0.2833333333333333,0.775,0.54375,1.3869709211499157,0.7502721498409907,1.3792844325304032,2.4166666666666665,0.9833333333333333,0.9833333333333333,1.0,1.0,,0.004863765041227453,860254208
C,31874,2,120,0.5083333333333333,0.8166666666666667,0.6847222222222222,1.0478898375964438,0.5703274750533499,1.0122447012894553,2.0,1.0,1.0,1.0,1.0,,0.005539340149456015,860700672
C,31874,3,120,0.5916666666666667,0.8833333333333333,0.7416666666666667,0.8105659578078732,0.4395141777012571,0.7476357237290359,1.7916666666666667,1.0,1.0,1.0,1.0,,0.005351592368485095,860712960
C,31874,4,120,0.825,0.9666666666666667,0.8944444444444444,0.39491448264502726,0.21630976093709836,0.38087050726850674,1.3,1.0,1.0,1.0,1.0,,0.004897653665587616,859971584
C,31874,6,120,0.9666666666666667,0.9916666666666667,0.9798611111111111,0.12617919768602098,0.06635147894217577,0.1513358203805789,1.0583333333333333,1.0,1.0,1.0,1.0,,0.005035777442875163,859934720
C,31874,12,120,0.975,0.9916666666666667,0.9854166666666667,0.0779774949348956,0.04221859235772687,0.09381006635667291,1.0416666666666667,1.0,1.0,1.0,1.0,,0.005067790817702189,862670848
C,31874,25,120,0.975,0.9916666666666667,0.9854166666666667,0.08024749181734822,0.04287325623752299,0.09025660365684113,1.0416666666666667,1.0,1.0,1.0,1.0,,0.005471305216876014,865452032
